,prices,market_caps,total_volumes
2023-12-14 20:01:08.751,1.0044068367565538e-05,5918816395.592276,262226321.4659343
2023-12-14 21:00:44.025,1.0033811997727024e-05,5913040944.115635,252703961.6261633
2023-12-14 22:00:31.328,1.0105907884401857e-05,5964828595.466746,252675071.75126296
2023-12-14 23:01:12.325,1.0096108646152623e-05,5953687421.335903,248154968.00353384
2023-12-15 00:00:38.592,1.0076530778513424e-05,5930585589.355382,248425519.5063095
2023-12-15 01:01:00.334,1.001568979076848e-05,5910461719.5474415,248570340.00262007
2023-12-15 02:00:24.000,9.989241013392842e-06,5888485918.090146,247128311.96506894
2023-12-15 03:00:26.255,9.986071961127492e-06,5885262073.31107,245801077.87037662
2023-12-15 04:00:36.287,1.000697799800021e-05,5889993813.020166,247489163.26744708
2023-12-15 05:00:50.144,9.93551238323643e-06,5848801394.034496,245957730.51496968
2023-12-15 06:00:17.623,9.883317216887242e-06,5832064673.858168,239390507.17273337
2023-12-15 07:00:01.516,9.878649266080262e-06,5826285919.714543,235814339.2888167
2023-12-15 08:00:11.900,9.833713635557197e-06,5792102471.295049,235264477.71148685
2023-12-15 09:00:17.184,9.88849624803787e-06,5827572684.237073,229687268.73823732
2023-12-15 10:00:32.461,9.911672295369088e-06,5844346277.696777,225946185.00654325
2023-12-15 11:00:48.535,9.941639186163735e-06,5871726001.243764,228987629.0478503
2023-12-15 12:01:01.690,9.904343606271791e-06,5840672850.108729,225620396.7493693
2023-12-15 13:00:04.208,9.823167191664868e-06,5795697471.939779,227312674.6495109
2023-12-15 14:00:41.754,9.752428746438506e-06,5750484362.581704,214671377.86866584
2023-12-15 15:00:05.947,9.717354910920814e-06,5722841684.092592,197211994.16639954
2023-12-15 16:01:02.541,9.734063972615205e-06,5732460269.656099,199064459.29204223
2023-12-15 17:00:24.248,9.709073306391983e-06,5717635228.781342,197071461.46702215
2023-12-15 18:00:07.267,9.709274718000652e-06,5728128011.879607,179393906.2995274
2023-12-15 19:00:52.053,9.786542619608897e-06,5767477341.881908,182567540.65803924
2023-12-15 20:00:12.253,9.786522101735249e-06,5763607558.643004,180957384.69558057
2023-12-15 21:00:03.858,9.813499972921682e-06,5774776678.019854,174996469.9589692
2023-12-15 22:00:46.969,9.821364182547808e-06,5784409178.5077915,174092456.31836227
2023-12-15 23:00:24.421,9.669757465239507e-06,5721426632.510536,186281893.36366913
2023-12-16 00:00:28.919,9.586431673309353e-06,5672388463.178052,187030043.20442587
2023-12-16 01:01:01.556,9.590830444330372e-06,5649241162.7094555,190690437.9523629
2023-12-16 02:00:41.045,9.671282166419752e-06,5706090374.527265,194773972.57478282
2023-12-16 03:00:39.135,9.730891427782928e-06,5727975739.488495,198751605.00838828
2023-12-16 04:00:36.075,9.76619817429707e-06,5757054387.213946,199121833.41065618
2023-12-16 05:00:26.202,9.754263928053793e-06,5747004417.586753,189768560.71680337
2023-12-16 06:00:26.453,9.813990762158673e-06,5779747689.411274,193100266.1108193
2023-12-16 07:00:35.812,9.831768368133038e-06,5798608574.298117,191227853.2460212
2023-12-16 08:00:22.212,9.802433515589705e-06,5768884870.026067,196553191.80841565
2023-12-16 09:00:07.376,9.785193769879072e-06,5769643988.2776165,191111085.1774748
2023-12-16 10:00:54.832,9.85848439734616e-06,5805278559.756572,186694981.46959725
2023-12-16 11:00:09.873,1.0070337373508242e-05,5939161378.169322,191889566.46201113
2023-12-16 12:00:45.967,9.984835521190018e-06,5882255193.383294,210524401.96903875
2023-12-16 13:00:15.147,1.0139143206907605e-05,5989096987.439354,244090214.4268463
2023-12-16 14:00:32.814,1.015442941506027e-05,5982579370.37986,224967948.93264204
2023-12-16 15:00:31.099,1.0135270953926563e-05,5975090627.249307,220699376.94127008
2023-12-16 16:00:01.069,1.0131935374127075e-05,5969083689.871316,220228875.61437044
2023-12-16 17:00:52.305,1.0134560441451866e-05,5975107557.169691,233651470.40193668
2023-12-16 18:00:38.791,1.0166795221868383e-05,5989538084.090614,245930673.75305519
2023-12-16 19:00:07.771,1.0180900520719062e-05,5993171832.057855,253064239.16747954
2023-12-16 20:00:09.006,1.057052543731902e-05,6170802182.341564,325335985.4182325
2023-12-16 21:00:06.495,1.0965170672719787e-05,6425745890.199823,432998103.9393535
2023-12-16 22:00:49.369,1.1194056952588816e-05,6565109774.628741,501594272.22759223
2023-12-16 23:00:33.980,1.0974275763387337e-05,6449854357.499919,556124085.6956453
2023-12-17 00:00:29.371,1.1654559121746805e-05,6800720635.227069,666724351.6960319
2023-12-17 01:00:52.045,1.1365707643456476e-05,6706137889.604351,733886557.0745791
2023-12-17 02:00:52.792,1.1151732186159527e-05,6557223638.558181,748367733.7010761
2023-12-17 03:00:11.979,1.0897398591800214e-05,6413689266.226971,739942316.7078204
2023-12-17 04:00:24.412,1.0939917496846213e-05,6454034693.578926,786630001.7583427
2023-12-17 05:00:44.912,1.0875888109600503e-05,6406954457.202384,751477171.643919
2023-12-17 06:00:08.485,1.0806647093236014e-05,6354118940.203584,837542006.0807976
2023-12-17 07:00:08.963,1.0724577180453821e-05,6314055547.296614,826647076.0045931
2023-12-17 08:00:51.188,1.0670157836704298e-05,6293960220.36341,848545529.6944778
2023-12-17 09:01:00.598,1.0726595418174728e-05,6326914875.285878,809122187.8032024
2023-12-17 10:00:27.758,1.0601580984036316e-05,6234113772.414523,882832015.3880543
2023-12-17 11:00:19.406,1.0652828660820196e-05,6280333976.100819,881979560.8784726
2023-12-17 12:00:36.158,1.0675874555582997e-05,6288788450.779678,855108993.7112416
2023-12-17 13:01:16.994,1.0611463799058535e-05,6245693383.601471,861861967.6427625
2023-12-17 14:00:07.160,1.0419143347697512e-05,6141841374.338539,803350730.8607565
2023-12-17 15:01:02.168,1.0330184361499785e-05,6110488353.042316,863355201.2957939
2023-12-17 16:01:10.397,1.0499155383220644e-05,6175261069.732827,817584407.5782791
2023-12-17 17:00:53.388,1.0527204676728226e-05,6200608453.11771,844690622.6202891
2023-12-17 18:00:47.543,1.0518760128489368e-05,6218140254.163752,854632575.3966948
2023-12-17 19:00:05.908,1.0510912338572641e-05,6196813695.917765,833825152.2533854
2023-12-17 20:00:20.600,1.0417064529925307e-05,6150568999.190675,792803001.9612281
2023-12-17 21:00:23.574,1.0456815726987622e-05,6167414935.264462,681453342.3716663
2023-12-17 22:00:50.981,1.0405831856526814e-05,6131753346.630676,631353337.8382406
2023-12-17 23:00:33.210,1.0398814817256969e-05,6120502392.257322,636632949.8906993
2023-12-18 00:00:42.651,1.0309150535525752e-05,6078911824.633413,514841033.07513493
2023-12-18 01:00:11.298,1.0418397633461862e-05,6127947237.8753195,457168065.8371883
